Source_File,DUNS,Company_Name,Company_URL_Name,Sales_Revenue,Is_Unincorporated,Street_Address,City,State_Province,State_Abbreviation,Postal_Code,Country,Country_Code,Formatted_City,Formatted_Region,Company_URL,Latitude,Longitude,Num Matches,All Matches
input1.json,3f817e939e417ec74629520ff8350aa7,WELSPUN CORP LIMITED,welspun_corp_limited,979,FALSE,"Welspun House, 5th Floor,",Mumbai,Maharashtra,MH,400013,India,IN,Mumbai,Maharashtra,welspun_corp_limited.3f817e939e417ec74629520ff8350aa7,19.7514798,75.7138884,1,"Maharashtra, India"
input1.json,fc5e1e6bcce2d13986afee32fc0eccea,WELSPUN LIVING LIMITED,welspun_living_limited,931.84,FALSE,"Welspun House, S B Marg, Lower Parel",Mumbai,Maharashtra,MH,400013,India,IN,Mumbai,Maharashtra,welspun_living_limited.fc5e1e6bcce2d13986afee32fc0eccea,19.7514798,75.7138884,1,"Maharashtra, India"
input1.json,5756b0a7bb510cbce7f8f5c15fb43b01,DORF-KETAL CHEMICALS INDIA PRIVATE LIMITED,dorf-ketal_chemicals_india_private_limited,,FALSE,"1 Dorf Ketal Tower, D Monte Lane,",Mumbai,Maharashtra,MH,400064,India,IN,Mumbai,Maharashtra,dorf-ketal_chemicals_india_private_limited.5756b0a7bb510cbce7f8f5c15fb43b01,19.7514798,75.7138884,1,"Maharashtra, India"
input1.json,de3c658e468427a389c1313fe1b3fe07,SNF FLOPAM INDIA PRIVATE LIMITED,snf_flopam_india_private_limited,,FALSE,Survey No. 141 12 N 1421 National Highway 8A East,Kutch,Gujarat,GJ,370201,India,IN,Kutch,Gujarat,snf_flopam_india_private_limited.de3c658e468427a389c1313fe1b3fe07,23.1701923,70.2101694,1,"Survey No 141, 1-2-N-142-1, Varsana, Gujarat 370240, India"
input1.json,dcc5471823468fa5a1ca4608929c8a54,VENUS PIPES & TUBES LIMITED,venus_pipes__tubes_limited,94.66,FALSE,"Tripada Complex, Plot No 275, Sector 1/A,",Kutch,Gujarat,GJ,370201,India,IN,Kutch,Gujarat,venus_pipes__tubes_limited.dcc5471823468fa5a1ca4608929c8a54,23.264553,69.947923,1,"Survey No. 233/2, Bhuj - Bhachau Highway, Dhaneti, Gujarat 370020, India"
input1.json,6d7928b74dfcb8563a93ae54ca961201,SHIPRA WOOD PRODUCTS PRIVATE LIMITED,shipra_wood_products_private_limited,,FALSE,N.H.No.8/A,Kutch,Gujarat,GJ,370201,India,IN,Kutch,Gujarat,shipra_wood_products_private_limited.6d7928b74dfcb8563a93ae54ca961201,22.6708317,71.5723953,1,"Gujarat, India"
input1.json,5e8a509a703cc7a38e6c2bce7aed2a54,AGROCEL INDUSTRIES PRIVATE LIMITED,agrocel_industries_private_limited,,FALSE,"Agrocel House, R.s.no. 135/ Paikee 1 / P, Paikee 2 /",Kutch,Gujarat,GJ,370020,India,IN,Kutch,Gujarat,agrocel_industries_private_limited.5e8a509a703cc7a38e6c2bce7aed2a54,23.2309059,69.7361201,1,"Survey No 135/P1, Vardhman Nagar, Bhujodi, Bhuj, Gujarat 370020, India"
input1.json,1c55befddcbfbb5bd4e40e9b52e90f61,WELSPUN STEEL LIMITED,welspun_steel_limited,,FALSE,"Welspun House, 6th Floor & 7 Floor",Mumbai,Maharashtra,MH,400013,India,IN,Mumbai,Maharashtra,welspun_steel_limited.1c55befddcbfbb5bd4e40e9b52e90f61,19.7514798,75.7138884,1,"Maharashtra, India"
input1.json,18ad46fd085afeeab24f44f977701a73,GRG COTSPIN LIMITED,grg_cotspin_limited,,FALSE,Survey No. 536/1,Kutch,Gujarat,GJ,370110,India,IN,Kutch,Gujarat,grg_cotspin_limited.18ad46fd085afeeab24f44f977701a73,23.139153,70.0576868,1,"Survey No.536/1 Field name Bandho seam Anjar Dist-, Anjar, Gujarat 370110, India"
input1.json,6b68a10559fa10cacc734c6742be0851,OLEO ENERGY (INDIA) PRIVATE LIMITED,oleo_energy_(india)_private_limited,,FALSE,"RISHABH ARCADE OFFICE NO 05, GROUND FLOOR PLOT NO 83",Kutch,Gujarat,GJ,370201,India,IN,Kutch,Gujarat,oleo_energy_(india)_private_limited.6b68a10559fa10cacc734c6742be0851,22.6708317,71.5723953,1,"Gujarat, India"
